原始文本,分词结果,发布时间,标题
陌刀、双刀、太极，快意武侠；梦境、幻象、现实，如诗如画。演员谢苗饰演驻边军，于海市蜃楼中窥见命运流转。雾里看花，亦真亦幻；身入险局，是敌是友？《燕云十六声》1.7版本「明月照玉门」，今日上线。。 —— 河西启程|谢苗以身入梦，重现浪漫武侠,《 河西 启程 | 谢苗 以身入梦 ， 重现 浪漫 武侠 》 : 陌刀 、 双刀 、 太极 ， 快意 武侠 ； 梦境 、 幻象 、 现实 ， 如 诗 如 画 。 演员 谢苗 饰演 驻边军 ， 于 海市蜃楼 中 窥见 命运 流转 。 雾里看花 ， 亦 真 亦 幻 ； 身 入 险局 ， 是 敌 是 友 ？ 《 燕云十六声 》 1.7 版本 「 明月 照 玉门 」 ， 今日 上线 。,2025-03,河西启程 | 谢苗以身入梦，重现浪漫武侠
举头望明月，低头思故乡。大唐的诗歌璀璨，其中隽永缠绵的当属一首静夜思。归乡也许还有希望，可若想要回到那个辉煌的年代，是否只能是梦中的呓语？今日《燕云十六声》1.7版本「明月照玉门」上线，新区域河西·玉门开启，还待游侠们亲往一探。。 —— 明月照玉门|全新区域河西今日上线！__,《 明月 照 玉门 | 全新 区域 河西 今日 上线 ！ 》 : 举头 望 明月 ， 低头 思 故乡 。 大唐 的 诗歌 璀璨 ， 其中 隽永 缠绵 的 当 属 一 首 静夜 思 。 归乡 也许 还有 希望 ， 可 若 想 要 回到 那个 辉煌 的 年代 ， 是否 只能 是 梦 中 的 呓语 ？ 今日 《 燕云十六声 》 1.7 版本 「 明月 照 玉门 」 上线 ， 新 区域 河西 · 玉门 开启 ， 还 待 游侠 们 亲 往 一 探 。,2025-03,明月照玉门 | 全新区域河西今日上线！
团圆相逢，天下同乐，给游侠们拜个早年！1.3版本「今古同此夜」现已上线，游赏江湖拿下诸多好礼，全新奇术新春新境界！。 —— 今古同此夜|收拾收拾准备过年！,《 今 古 同 此 夜 | 收拾 收拾 准备 过年 ！ 》 : 团圆 相逢 ， 天下 同乐 ， 给 游侠 们 拜 个 早年 ！ 1.3 版本 「 今 古 同 此 夜 」 现 已 上线 ， 游赏 江湖 拿下 诸多 好礼 ， 全新 奇术 新春 新 境界 ！,2025-01,今古同此夜 | 收拾收拾准备过年！
暑往冬来，岁暮契阔。竹林小屋，是1000万游侠初出茅庐成长的地方。四季更替，江湖，由此启程。。 —— 清河一日pv|江湖，由此启程！__,《 清河 一日 PV | 江湖 ， 由此 启程 ！ 》 : 暑往冬来 ， 岁暮 契阔 。 竹林 小屋 ， 是 1000万 游侠 初出茅庐 成长 的 地方 。 四季 更替 ， 江湖 ， 由此 启程 。,2025-01,清河一日PV | 江湖，由此启程！
游侠们，为庆祝移动端的不删档上线，各位游侠股东们的“分红”来了！。 —— 移动端明天就上|双“云”成侠，有胶白拿！_游戏热门视频,《 移动端 明天 就 上 | 双 “ 云 ” 成侠 ， 有 胶 白 拿 ！ _ 游戏 热门 视频 》 : 游侠们 ， 为 庆祝 移动端 的 不 删档 上线 ， 各位 游侠 股东们 的 “ 分红 ” 来 了 ！,2025-01,移动端明天就上 | 双“云”成侠，有胶白拿！_游戏热门视频
预下载开启|韩熙载来了也得先去趟燕云。 —— 预下载开启|韩熙载来了也得先去趟燕云_,《 预下载 开启 | 韩熙载 来 了 也 得 先 去 趟 燕云 _ 》 : 预下载 开启 | 韩熙载 来 了 也 得 先 去 趟 燕云,2025-01,预下载开启 | 韩熙载来了也得先去趟燕云
"恩情，恩在前，情在后。田英与黎蓁蓁的故事，是抉择，是无奈，是乱世侠者的缩影。就像活人医馆“天不收”大夫说的，总有一些——不管生死，都“一定”的东西。江湖之大，日益精彩，也有无数的故事和传说正等待游侠们见证和书写。歌曲：《精卫（燕云十六声版）》原词曲/原唱：30年前,50年后演唱/制作/编曲：一颗狼星改编词：烧灯续昼改编曲：一颗狼星录音：丁筱荷混音：江刘博文录音棚：果果音乐。 —— 红尘无眼，恩情难诉，遗憾与谁说","《 红尘 无 眼 ， 恩情 难 诉 ， 遗憾 与 谁 说 》 : 恩情 ， 恩 在 前 ， 情 在 后 。 田英 与 黎蓁蓁 的 故事 ， 是 抉择 ， 是 无奈 ， 是 乱世 侠者 的 缩影 。 就 像 活人 医馆 “ 天 不 收 ” 大夫 说 的 ， 总 有一些 —— 不管 生死 ， 都 “ 一定 ” 的 东西 。 江湖 之 大 ， 日益 精彩 ， 也 有 无数 的 故事 和 传说 正 等待 游侠 们 见证 和 书写 。 歌曲 ： 《 精卫 （ 燕云十六声 版 ） 》 原 词曲 / 原唱 ： 30年 前 , 50年 后 演唱 / 制作 / 编曲 ： 一 颗 狼 星 改编词 ： 烧灯 续 昼 改编曲 ： 一 颗 狼 星 录音 ： 丁筱荷 混音 ： 江刘博文录音棚 ： 果果 音乐",2025-01,红尘无眼，恩情难诉，遗憾与谁说
能放在口袋里的燕云已近在咫尺——，但求侠心火热，而设备不烫。pc端随心，移动随时，这份移动端的“浴约”邀请，请查收！。 —— 世界无羁，预约随心丨，移动端不删档上线！_,《 世界 无羁 ， 预约 随心 丨 1月9日 ， 移动端 不 删档 上线 ！ _ 》 : 能 放 在 口袋 里 的 燕云 已 近在咫尺 —— ， 但 求 侠心 火热 ， 而 设备 不 烫 。 pc端 随心 ， 移动 随时 ， 这 份 移动端 的 “ 浴约 ” 邀请 ， 请 查收 ！,2024-12,世界无羁，预约随心丨1月9日，移动端不删档上线！
江湖故事序幕刚启，还有诸多强敌正摩拳擦掌——燕云boss团随之登场！我们将根据boss的角色设定，用鲜活的真人剧情呈现，通过不同形式向更多人展示他们强悍战力背后的隐秘故事。————————————————————————知名老戏骨、视帝倪大红，将化身为深不可测的燕云boss「黑财神」。白日里，他是开封府的大人；黑夜里，他又是阴影中的恶神。权欲、金钱、人心……是成功掌控一切，还是被这一切反噬？燕云十六声今日正式公测，开封区域即将开启。这位如日中天的反派boss，也在等待与游侠们的一战。。 —— 燕云boss团|倪大红×黑财神——钱能通神？我即是神！_,《 燕云BOSS团 | 倪大红 × 黑财神 — — 钱 能 通 神 ？ 我 即 是 神 ！ _ 》 : 江湖 故事 序幕 刚 启 ， 还有 诸多 强敌 正 摩拳擦掌 —— 燕云boss团 随 之 登场 ！ 我们 将 根据 boss 的 角色 设定 ， 用 鲜活 的 真人 剧情 呈现 ， 通过 不同 形式 向 更 多 人 展示 他们 强悍 战力 背后 的 隐秘 故事 。 —— — — — — — — — — — — — — —————————— 知名 老戏骨 、 视帝 倪大红 ， 将 化身 为 深不可测 的 燕云 boss 「 黑财神 」 。 白日 里 ， 他 是 开封府 的 大人 ； 黑夜 里 ， 他 又是 阴影 中 的 恶神 。 权欲 、 金钱 、 人心 ……是 成功 掌控 一切 ， 还是 被 这 一切 反噬 ？ 燕云十六声 今日 正式 公测 ， 开封 区域 即将 开启 。 这 位 如日中天 的 反派 boss ， 也 在 等待 与 游侠 们 的 一 战 。,2024-12,燕云BOSS团 | 倪大红×黑财神——钱能通神？我即是神！
开服前，我们再次见到了燕云官方武术指导、金马奖最佳武术指导董玮老师，他曾在研发阶段参与游戏中多个武学套路与武打演出设计，这一次他来到燕云boss团的郑鄂武戏拍摄现场，也在采访中留下了对游侠们的祝愿：“用一招一式，闯出属于你的江湖。”燕云十六声今日正式公测，各位江湖见！。 —— 燕云武指董玮寄语|用一招一式，闯出属于你的江湖_游戏热门视频,《 燕云 武指 董玮 寄语 | 用 一招一式 ， 闯出 属于 你 的 江湖 _ 游戏 热门 视频 》 : 开服 前 ， 我们 再次 见到 了 燕云 官方 武术指导 、 金马奖 最佳 武术指导 董玮 老师 ， 他 曾 在 研发 阶段 参与 游戏 中 多个 武学 套路 与 武打 演出 设计 ， 这 一次 他 来到 燕云boss团 的 郑鄂 武戏 拍摄 现场 ， 也 在 采访 中 留下 了 对 游侠 们 的 祝愿 ： “ 用 一招一式 ， 闯 出 属于 你 的 江湖 。 ” 燕云十六声 今日 正式 公测 ， 各位 江湖 见 ！,2024-12,燕云武指董玮寄语 | 用一招一式，闯出属于你的江湖_游戏热门视频
江湖故事序幕刚启，还有诸多强敌正摩拳擦掌——燕云boss团随之登场！我们将根据boss的角色设定，用鲜活的真人剧情呈现，通过不同形式向更多人展示他们强悍战力背后的隐秘故事。————————————————————————青年演员@丁禹兮，化身病骨文弱却深藏不露的开封boss「常平使郑鄂」一袭白衣一柄折扇，善恶抉择就在一念之间。挚友反目，兄妹死别，“天下常平”的儿时理想如何坚守？郑鄂能否勘破心中执念，游侠又将与他展开怎样的交锋。燕云十六声今日正式公测，开封区域即将开启，开封镇守boss郑鄂，期待与各位游侠的过招！。 —— 燕云boss团|丁禹兮×郑鄂——善恶一念，常平何求？,《 燕云BOSS团 | 丁禹兮 × 郑鄂 — — 善恶 一 念 ， 常平 何 求 ？ 》 : 江湖 故事 序幕 刚 启 ， 还有 诸多 强敌 正 摩拳擦掌 —— 燕云boss团 随 之 登场 ！ 我们 将 根据 boss 的 角色 设定 ， 用 鲜活 的 真人 剧情 呈现 ， 通过 不同 形式 向 更 多 人 展示 他们 强悍 战力 背后 的 隐秘 故事 。 ———————————————————————— 青年 演员 @ 丁禹兮 ， 化身 病骨 文弱 却 深藏不露 的 开封 boss 「 常平 使 郑鄂 」 一 袭 白衣 一 柄 折扇 ， 善恶 抉择 就 在 一念之间 。 挚友 反目 ， 兄妹 死别 ， “ 天下 常平 ” 的 儿时 理想 如何 坚守 ？ 郑鄂 能否 勘破 心中 执念 ， 游侠 又 将 与 他 展开 怎样 的 交锋 。 燕云十六声 今日 正式 公测 ， 开封 区域 即将 开启 ， 开封 镇守 boss 郑鄂 ， 期待 与 各位 游侠 的 过招 ！,2024-12,燕云BOSS团 | 丁禹兮×郑鄂——善恶一念，常平何求？
来者何人也？或无名一少年，或侠者万万千。在对相逢的期待中，公测宣传曲先声上线。听龚琳娜化身江湖前辈，以高亢歌声接引新侠，随着她如说书人般的讲述踏入这场乱世冒险。看游侠儿自火光中而来，以身为剑，斩破乱世，留下立于天地之间属于自己的声音。演唱：龚琳娜作词：小驴作曲：关大洲编曲：关大洲/flashpiggy闪电小猪混音/母带：啊鲤（尤靖尧）制作人：关大洲录音室：55tecstudio录音师：张宇涵@55tecstudio出品：燕云十六声————————《燕云十六声》将于开启pc端公测，预下载现已开启！官网： —— 来者何人也|龚琳娜x关大洲，高歌一曲接引燕云游侠儿！__,《 来者 何人 也 | 龚琳娜 X 关大洲 ， 高歌 一 曲 接引 燕云 游侠儿 ！ 》 : 来者 何人 也 ？ 或 无名 一 少年 ， 或 侠者 万 万 千 。 在 对 相逢 的 期待 中 ， 公测 宣传曲 先声 上线 。 听 龚琳娜 化身 江湖 前辈 ， 以 高亢 歌声 接引 新侠 ， 随着 她 如 说书人 般 的 讲述 踏入 这 场 乱世 冒险 。 看 游侠儿 自 火光 中 而 来 ， 以 身 为 剑 ， 斩破 乱世 ， 留下 立于 天地 之间 属于 自己 的 声音 。 演唱 ： 龚琳娜 作词 ： 小 驴 作曲 ： 关大洲 编曲 ： 关大洲 / flashpiggy 闪电 小猪 混音 / 母带 ： 啊鲤 （ 尤靖尧 ） 制作人 ： 关大洲录音室 ： 55tecstudio 录音师 ： 张宇涵 @ 55tecstudio 出品 ： 燕云十六声 ——— — — ——— 《 燕云十六声 》 将 于 开启 pc端 公测 ， 预下载 现 已 开启 ！ 官网 ：,2024-12,来者何人也 | 龚琳娜X关大洲，高歌一曲接引燕云游侠儿！
江湖，人人都想去江湖。江湖二字，承载着一种危险又美丽的东方幻想，又连接着无数游侠儿们的侠义与冒险精神。还有两天，燕云就将与各位游侠正式见面。届时万物皆备于你，且听诸位的江湖新声。【片中诗词】《侠客行》（唐·李白）《水调歌头》（宋·苏轼）《定风波》（宋·苏轼）演唱：崔增才作曲：江逸————————《燕云十六声》将于开启pc端公测，预下载现已开启！官网： —— 预下载开启|《燕云十六声》公测剧情预告pv_剧情,《 预下载 开启 | 《 燕云十六声 》 公测 剧情 预告 PV _ 剧情 》 : 江湖 ， 人人 都 想 去 江湖 。 江湖 二 字 ， 承载 着 一种 危险 又 美丽 的 东方 幻想 ， 又 连接 着 无数 游侠儿 们 的 侠义 与 冒险 精神 。 还有 两天 ， 燕云 就 将 与 各位 游侠 正式 见面 。 届时 万物 皆 备 于 你 ， 且 听 诸位 的 江湖 新声 。 【 片 中 诗词 】 《 侠客行 》 （ 唐 · 李白 ） 《 水调歌头 》 （ 宋 · 苏轼 ） 《 定风波 》 （ 宋 · 苏轼 ） 演唱 ： 崔增才 作曲 ： 江逸 —— — — ———— 《 燕云十六声 》 将 于 开启 pc端 公测 ， 预下载 现 已 开启 ！ 官网 ：,2024-12,预下载开启 | 《燕云十六声》公测剧情预告PV_剧情
无限轮回的江湖血雨，正邪交锋的武侠绝境。蛤蟆功师祖燕云邪神惊觉受困无限流，怒战谭sir，竟意外找到逃脱无限循环的秘密。这一次，燕云携手梁小龙、谭乔、二仙桥大爷，用一招一式重回武侠黄金时代——谁能活到最后？“想学啊你？我教你啊！”————————《燕云十六声》将于正式公测，欢迎前往官网预约： —— 宿命轮回|谭sir惨遭燕云邪神暴打，惊天蛤蟆功破局无限流__,《 宿命 轮回 | 谭 sir 惨遭 燕云 邪神 暴打 ， 惊天 蛤蟆 功 破 局 无限 流 》 : 无限 轮回 的 江湖 血雨 ， 正邪 交锋 的 武侠 绝境 。 蛤蟆 功师 祖燕云 邪神 惊觉 受困 无限 流 ， 怒战 谭 sir ， 竟 意外 找到 逃脱 无限 循环 的 秘密 。 这 一次 ， 燕云 携手 梁小龙 、 谭乔 、 二仙桥 大爷 ， 用 一招一式 重 回 武侠 黄金时代 —— 谁 能 活 到 最后 ？ “ 想 学 啊 你 ？ 我 教 你 啊 ！ ” ———————— 《 燕云十六声 》 将 于 正式 公测 ， 欢迎 前往 官网 预约 ：,2024-12,宿命轮回 | 谭sir惨遭燕云邪神暴打，惊天蛤蟆功破局无限流
歧路峻险，莫溯前尘。燕云十六声描绘了一场关于五代十国的旧梦。此间，你于清河成长，在开封游历，路遇奇境奇人，击败他们，而后直面自己——“你是谁？”“和你一样的……江湖人。”再会，凭栏风起处；来者，燕云十六声！————————《燕云十六声》将于正式公测，欢迎前往官网预约： —— 如见故人|《燕云十六声》2分钟全新预告pv__剧情,《 如 见 故人 | 《 燕云十六声 》 2分钟 全新 预告 PV 剧情 》 : 歧路 峻险 ， 莫 溯 前尘 。 燕云十六声 描绘 了 一 场 关于 五代十国 的 旧梦 。 此间 ， 你 于 清河 成长 ， 在 开封 游历 ， 路遇 奇境 奇人 ， 击败 他们 ， 而后 直面 自己 —— “ 你 是 谁 ？ ” “ 和 你 一样 的 …… 江湖 人 。 ” 再会 ， 凭栏 风 起 处 ； 来者 ， 燕云十六声 ！ —— ——— ——— 《 燕云十六声 》 将 于 正式 公测 ， 欢迎 前往 官网 预约 ：,2024-12,如见故人 | 《燕云十六声》2分钟全新预告PV_剧情
在武侠的世界里，刀剑铮鸣之声是永恒环绕的旋律。“绳镖”作为软兵之王，尤为擅长以柔克刚。燕云十六声携手洪家班武术指导、燕云武学动捕演员宋淑鑫老师，带来武器绳镖的真人演示视频。故事中的游侠凭借个人实力与魅力，常年行走在劝架前线，维护自己心中江湖的和平与秩序。七大武器、数十套武学招式公测上线。侠路相逢，以武会友！这个江湖的道理，游侠说了算。————————《燕云十六声》将于正式公测，欢迎前往官网预约： —— 做人留一线|江湖人的劝架之道，软兵之王绳镖登场,《 做人 留 一 线 | 江湖 人 的 劝架 之 道 ， 软兵 之 王 绳镖 登场 》 : 在 武侠 的 世界 里 ， 刀 剑 铮鸣 之 声 是 永恒 环绕 的 旋律 。 “ 绳镖 ” 作为 软兵 之 王 ， 尤为 擅长 以柔克刚 。 燕云十六声 携手 洪家班 武术 指导 、 燕云 武学 动捕 演员 宋淑鑫 老师 ， 带来 武器 绳镖 的 真人 演示 视频 。 故事 中 的 游侠 凭借 个人 实力 与 魅力 ， 常年 行走 在 劝架 前线 ， 维护 自己 心中 江湖 的 和平 与 秩序 。 七 大 武器 、 数十套 武学 招式 公测 上线 。 侠路相逢 ， 以 武 会 友 ！ 这个 江湖 的 道理 ， 游侠 说了算 。 ———————— 《 燕云十六声 》 将 于 正式 公测 ， 欢迎 前往 官网 预约 ：,2024-12,做人留一线 | 江湖人的劝架之道，软兵之王绳镖登场
